Model,MAE_avg,RMSE_avg,R2_avg,MAE_Tube_diameter_nm,MAE_Tube_length_um,MAE_Wall_thickness_nm,MAE_Pore_density_pores_per_um2,MAE_Anatase_ratio,RMSE_Tube_diameter_nm,RMSE_Tube_length_um,RMSE_Wall_thickness_nm,RMSE_Pore_density_pores_per_um2,RMSE_Anatase_ratio,R2_Tube_diameter_nm,R2_Tube_length_um,R2_Wall_thickness_nm,R2_Pore_density_pores_per_um2,R2_Anatase_ratio
CatBoost,5.101293519873353,6.851692067014467,0.9681062960726032,5.065950098510012,1.4290833707087733,1.3286479165463791,17.658175974995903,0.024610238605700288,6.190136248021085,2.143981152123472,1.6919650200405976,24.199550934004627,0.032826980882550545,0.9830004704016813,0.9322484389178993,0.9618982997165535,0.9708748168928583,0.9925094544340239
RF,7.034691842577949,9.88180500580722,0.9439551994598517,4.973672578601488,1.6709186761921435,1.6860928960285155,26.809959020603525,0.03281604146407289,6.414739392087626,2.72327979152087,2.1940219459408294,38.02801597063957,0.048967928847197674,0.9817444668013935,0.8906894934722526,0.9359316512613194,0.9280780612631852,0.9833323245011081
GPR,4.4419677474305335,6.404469910339586,0.9792343390792076,4.406363685256611,1.0914004237881993,0.9247526431732831,15.767560714197423,0.019761270737151143,5.721046158100056,1.6152072301267892,1.1714465637119529,23.487420756330977,0.027228843428155333,0.9854793054106814,0.9615466766382208,0.9817355515580077,0.972563752860412,0.9948464089287166
MLP,6.638774766486932,8.689152267938223,0.9309501812762899,4.820091703575368,1.8342327519277724,1.2460588809687594,25.193221283584304,0.1002692123784545,6.079842513273429,2.7281116343314435,1.5457442796474725,32.95356017076641,0.1385027416723553,0.9836008572103401,0.8903012559163714,0.9681992844522892,0.9459919207408114,0.866657588061638
Ridge,9.77566707048177,12.374353126958535,0.8084174006750858,4.421847930790975,4.836761539860467,1.7973932406861086,37.695703879432564,0.12662876163874148,5.762643771248313,6.256770861988149,2.3155465067535275,47.374462353936195,0.1623421408664891,0.985267378378174,0.42299725290699963,0.9286377372330747,0.8883798404307496,0.8168047944264314
